filename,puzzle_correct,patch_matches,time_s
108553_Cassock_primary.jpg,1,9,9.48
128196_Textile_primary.jpg,1,9,1.54
13799_Panel_blue-resist_textile_primary.jpg,0,2,1.45
13801_Panel_blue-resist_textile_primary.jpg,0,1,1.61
157548_Vestment_primary.jpg,0,4,1.58
157562_Textile_fragment_primary.jpg,0,3,1.61
157612_Orphrey_primary.jpg,0,2,1.56
157934_Chasuble_primary.jpg,0,2,1.54
158178_Chasuble_stole_and_maniple_primary.jpg,0,2,1.56
158366_Bed_curtain_border_primary.jpg,0,2,1.47
158367_Bed_curtain_border_primary.jpg,0,1,1.50
158399_Towel_border_primary.jpg,0,7,1.54
173371_Textile_panel_primary.jpg,0,2,1.47
173406_Textile_primary.jpg,0,1,1.44
173413_Textile_primary.jpg,0,6,1.57
174449_Chasuble_primary.jpg,1,9,1.47
174911_Chasuble_primary.jpg,0,1,1.47
175599_Fragment_of_a_shirt_primary.jpg,0,2,1.50
202130_Allegory_of_Water_Neptune_Rescuing_Amymone_primary.jpg,0,4,1.62
202228_Carpet_with_Fame_and_Fortitude_primary.jpg,0,2,1.55
202927_Length_of_roller_printed_cotton_primary.jpg,0,1,1.48
202958_Piece_primary.jpg,0,1,1.49
204484_Diana_and_Actaeon_from_a_set_of_Ovids_Metamorphos_primary.jpg,0,2,1.66
205350_Length_of_furnishing_fabric_primary.jpg,0,4,1.46
206403_Carpet_with_landscapes_primary.jpg,0,4,1.53
207504_Length_of_woven_wool_and_silk_primary.jpg,0,2,2.49
208528_Six_Putti_Dancing_Around_a_Globe_and_a_Palm_from_a_primary.jpg,0,1,1.66
210784_Furnishing_textile_primary.jpg,0,6,1.45
212218_Chandos_primary.jpg,1,9,1.51
212255_Strip_primary.jpg,0,5,1.45
212608_Elijah_and_the_fiery_chariot_primary.jpg,0,6,1.51
212611_The_Virgin_Annunciate_primary.jpg,0,2,1.66
212622_The_Death_of_Cleopatra_from_a_set_of_The_Story_of_primary.jpg,0,2,1.67
212623_The_Colosseum_from_a_set_of_The_Wonders_of_the_Wor_primary.jpg,0,4,1.61
212991_Piece_primary.jpg,0,5,1.51
213063_Piece_primary.jpg,0,2,1.57
213079_Fragment_primary.jpg,0,7,1.43
213122_Piece_primary.jpg,0,7,1.47
213131_Fragment_primary.jpg,0,4,1.41
213136_Damask_primary.jpg,0,0,1.68
213144_Piece_primary.jpg,1,9,1.58
213161_Piece_primary.jpg,0,1,1.60
213183_Piece_primary.jpg,0,3,1.59
213199_Piece_primary.jpg,0,1,1.57
213202_Piece_primary.jpg,0,1,1.52
213209_Piece_primary.jpg,0,1,1.64
213264_Sampler_primary.jpg,0,0,1.48
213439_Piece_primary.jpg,0,2,1.54
214172_Piece_primary.jpg,0,2,1.50
214310_Womans_wedding_mantle_lliclla_with_interlace_an_primary.jpg,0,5,1.51
214318_Silk_textile_with_Seraphim_and_Crosses_primary.jpg,0,7,1.57
214326_Sampler_primary.jpg,0,5,1.51
214341_Piece_primary.jpg,1,9,1.53
215312_Towel_primary.jpg,0,2,1.53
215365_Cap_primary.jpg,0,4,1.50
215452_Band_primary.jpg,0,3,1.47
215460_Band_primary.jpg,0,1,1.45
215464_Fragment_primary.jpg,0,7,1.40
215483_Cap_fragment_primary.jpg,0,1,1.50
215537_Piece_primary.jpg,0,1,1.46
215547_Piece_primary.jpg,0,2,1.44
215569_Peasant_costume_fragment_primary.jpg,0,2,1.56
215574_Peasant_costume_fragment_primary.jpg,0,5,1.54
215583_Peasant_costume_fragment_primary.jpg,0,1,1.60
215608_Peasant_costume_fragment_primary.jpg,0,0,1.45
215659_Fragment_primary.jpg,0,4,1.55
215695_Piece_primary.jpg,0,5,1.52
215707_Piece_one_of_116_primary.jpg,0,1,1.47
215711_Piece_one_of_116_primary.jpg,0,7,1.45
215720_Piece_one_of_116_primary.jpg,0,1,1.45
215748_Piece_one_of_116_primary.jpg,0,5,1.42
215749_Piece_one_of_116_primary.jpg,0,2,1.45
